YEAR,MANUFACTORER,MAKE,MODEL,LENGTH(FT),WEIGHT(LBS), TOTAL COST , SALE PRICE , $MARGIN ,%MARGIN,FLOORPLAN URL,STOCK STATUS
2026,EMBER,E SERIES,12RK,8,1850," $15,000.00 "," $16,495.00 "," $1,495.00 ",9.97%,https://www.emberrv.com/rvs/e-series/12rk/,SHOW UNIT OR ORDER
2026,EMBER,E SERIES,18RBE,22,4250," $27,600.00 "," $29,995.00 "," $2,395.00 ",8.68%,https://www.emberrv.com/rvs/e-series/18rbe/,SHOW UNIT OR ORDER
2026,EMBER,E SERIES,21RKE,26,5050," $30,250.00 "," $33,495.00 "," $3,245.00 ",10.73%,https://www.emberrv.com/rvs/e-series/21rke/,ORDER ONLY
2026,EMBER,OVERLAND,221MSL,27,5850," $57,000.00 "," $62,500.00 "," $5,500.00 ",9.65%,https://www.emberrv.com/rvs/overland-series/221msl/,ORDER ONLY
2026,FOREST RIVER,HERITAGE GLEN HYPER LYTE,21RBHL,25,4900," $26,000.00 "," $28,995.00 "," $2,995.00 ",11.52%,https://forestriverinc.com/rvs/wildwood-heritage-glen/21RBHL/10183,2
2026,FOREST RIVER,HERITAGE GLEN HYPER LYTE,25BHHL,34,7050," $30,500.00 "," $34,995.00 "," $4,495.00 ",14.74%,https://forestriverinc.com/rvs/wildwood-heritage-glen/25BHHL/10185,2
2026,FOREST RIVER,HERITAGE GLEN LTZ,308RL,38,9700," $41,500.00 "," $44,995.00 "," $3,495.00 ",8.42%,https://forestriverinc.com/rvs/wildwood-heritage-glen/308RL/10187,SHOW UNIT OR ORDER
2026,FOREST RIVER,HERITAGE GLEN LTZ,380WDR,43,13025," $62,000.00 "," $69,900.00 "," $7,900.00 ",12.74%,https://forestriverinc.com/rvs/wildwood-heritage-glen/380WDR/10190,SHOW UNIT OR ORDER
2026,FOREST RIVER,ROCKWOOD,290SFK,30,8775," $54,000.00 "," $59,500.00 "," $5,500.00 ",10.19%,https://forestriverinc.com/rvs/rockwood-signature-travel-trailers/290SFK/12021,ORDER ONLY
2026,FOREST RIVER,ROCKWOOD,374DBH,37,9500," $54,750.00 "," $59,900.00 "," $5,150.00 ",9.41%,https://forestriverinc.com/rvs/rockwood-signature-fifth-wheels/R374DBH/11629,ORDER ONLY
2026,FOREST RIVER,ROCKWOOD GEO PRO,13LE,16,2300," $13,000.00 "," $14,995.00 "," $1,995.00 ",15.35%,https://forestriverinc.com/rvs/rockwood-geo-pro/G13LE/12024,SHOW UNIT OR ORDER
2026,FOREST RIVER,ROCKWOOD GEO PRO,15TB,16,2850," $20,500.00 "," $22,995.00 "," $2,495.00 ",12.17%,https://forestriverinc.com/rvs/rockwood-geo-pro/G15TB/11583,SHOW UNIT OR ORDER
2026,FOREST RIVER,ROCKWOOD GEO PRO,17LE,20,2675," $15,000.00 "," $16,995.00 "," $1,995.00 ",13.30%,https://forestriverinc.com/rvs/rockwood-geo-pro/G17LE/12025,7
2026,FOREST RIVER,ROCKWOOD GEO PRO,20FBS,22,3550," $24,000.00 "," $26,995.00 "," $2,995.00 ",12.48%,https://forestriverinc.com/rvs/rockwood-geo-pro/G20FBS/11589,SHOW UNIT OR ORDER
2026,FOREST RIVER,ROCKWOOD GEO PRO,20FK,22,4250," $26,750.00 "," $29,995.00 "," $3,245.00 ",12.13%,https://forestriverinc.com/rvs/rockwood-geo-pro/G20FK/11591,SHOW UNIT OR ORDER
2026,FOREST RIVER,ROCKWOOD MINI LITE,2523MBR,26,6325," $35,000.00 "," $38,995.00 "," $3,995.00 ",11.41%,https://forestriverinc.com/rvs/rockwood-mini-lite/2523MBR/11604,SHOW UNIT OR ORDER
2026,FOREST RIVER,ROCKWOOD ULTRA LITE,301FKT,30,6075," $36,000.00 "," $39,995.00 "," $3,995.00 ",11.10%,https://forestriverinc.com/rvs/rockwood-ultra-lite-travel-trailers/301FKT/11712,SHOW UNIT OR ORDER
2026,KEYSTONE,COUGAR,22MLS,27,6100," $34,000.00 "," $37,995.00 "," $3,995.00 ",11.75%,https://www.keystonerv.com/product/cougar-half-ton/luxury-travel-trailers/floorplans/22MLS,SHOW UNIT OR ORDER
2026,KEYSTONE,COUGAR,2400RE,29,7500," $42,750.00 "," $47,500.00 "," $4,750.00 ",11.11%,https://www.keystonerv.com/product/cougar-half-ton/luxury-travel-trailers/floorplans/2400RE,SHOW UNIT OR ORDER
2026,KEYSTONE,COUGAR,26LBW,31,7200," $36,750.00 "," $39,995.00 "," $3,245.00 ",8.83%,https://www.keystonerv.com/product/cougar-half-ton/luxury-travel-trailers/floorplans/26LBW,SHOW UNIT OR ORDER
2026,KEYSTONE,COUGAR,26RES,31,8175," $45,000.00 "," $49,500.00 "," $4,500.00 ",10.00%,https://www.keystonerv.com/product/cougar-half-ton/luxury-travel-trailers/floorplans/26RES,SHOW UNIT OR ORDER
2026,KEYSTONE,COUGAR,26RKE,31,9200," $46,500.00 "," $50,750.00 "," $4,250.00 ",9.14%,https://www.keystonerv.com/product/cougar-half-ton/luxury-travel-trailers/floorplans/26RKE,2
2026,KEYSTONE,COUGAR,316RLS,36,11100," $57,000.00 "," $61,500.00 "," $4,500.00 ",7.89%,https://www.keystonerv.com/product/cougar/luxury-fifth-wheels/floorplans/316RLS,SHOW UNIT OR ORDER
2026,WAYFINDER,GO EXPLORE LTD,233ML,30,5650," $24,000.00 "," $27,995.00 "," $3,995.00 ",16.65%,https://www.highlandridgerv.com/rvs/travel-trailers/2025-range-lite/233ml/,4
2026,WAYFINDER,GO LITE,BOULDERBACK,23,2650," $14,750.00 "," $15,995.00 "," $1,245.00 ",8.44%,https://wayfinderrv.com/model/boulderback,12
2026,WAYFINDER,GO LITE,MOUNTAINBACK,37,5200," $21,750.00 "," $23,995.00 "," $2,245.00 ",10.32%,https://sunsettrailers.com/wp-content/uploads/2025/09/27WQB-Floorplan.jpeg,5
2025,WAYFINDER,GO LITE,SKYBREAKER,19,2300," $11,650.00 "," $11,995.00 ", $345.00 ,2.96%,https://wayfinderrv.com/model/skybreaker,13
2025,WAYFINDER,GO LITE,SOLO,8,1800," $10,500.00 "," $10,995.00 ", $495.00 ,4.71%,https://www.bishs.com/product/new-2026-wayfinder-rv-go-lite-solo-2903222-29,12
2025,WAYFINDER,GO PLAY,26BH-G,30,4875," $19,000.00 "," $19,995.00 ", $995.00 ,5.24%,https://wayfinderrv.com/model/26bh,10
2026,WAYFINDER,GO PLAY,26BHS,31,5750," $22,500.00 "," $24,995.00 "," $2,495.00 ",11.09%,https://wayfinderrv.com/model/26bhs,8
2026,WINNEBAGO,ACCESS,18DBH,23,3850," $15,750.00 "," $17,495.00 "," $1,745.00 ",11.08%,https://www.winnebago.com/models/product/towables/travel-trailer/access/2025-18dbh,SHOW UNIT OR ORDER
2026,WINNEBAGO,MICRO MINNIE,2108FBS,23,4325," $25,750.00 "," $29,995.00 "," $4,245.00 ",16.49%,https://www.winnebago.com/models/product/towables/travel-trailer/micro-minnie/2026-2108tb,SHOW UNIT OR ORDER
2026,WINNEBAGO,MICRO MINNIE,2108TB,23,4325," $27,000.00 "," $29,995.00 "," $2,995.00 ",11.09%,https://www.winnebago.com/models/product/towables/travel-trailer/micro-minnie/2026-2108fbs,SHOW UNIT OR ORDER
2026,WINNEBAGO,THRIVE,18FBS,23,4750," $27,750.00 "," $29,995.00 "," $2,245.00 ",8.09%,https://www.winnebago.com/models/thrive/18fbs,SHOW UNIT OR ORDER
2026,WINNEBAGO,THRIVE,22MBH,26,5850," $32,750.00 "," $36,995.00 "," $4,245.00 ",12.96%,https://www.winnebago.com/models/thrive/22mbh,SHOW UNIT OR ORDER
2026,WINNEBAGO,THRIVE,24RKS,31,6500," $34,750.00 "," $38,995.00 "," $4,245.00 ",12.22%,https://www.winnebago.com/models/thrive/24rks,SHOW UNIT OR ORDER
2026,WINNEBAGO,THRIVE,25RLS,30,6475," $36,250.00 "," $39,995.00 "," $3,745.00 ",10.33%,https://www.winnebago.com/models/thrive/25rls,SHOW UNIT OR ORDER
